Super-Takumar 105 mm f/ 2.8 ,M42
Asahi Super-Takumar 50 mm f/ 1.4 ,M42
Canon EF 17-40 mm f/ 4 L USM ,Canon EF (FF)
Canon EF 17-40 mm f/ 4 L USM ,Canon EF (APS-H)
Canon EF 17-40 mm f/ 4 L USM ,Canon EF-S
Canon EF 85 mm f/ 1.8 USM ,Canon EF (FF)
Canon EF 85 mm f/ 1.8 USM ,Canon EF (APS-H)
Canon EF 85 mm f/ 1.8 USM ,Canon EF-S
Canon EF 28-105 mm f/ 3.5-4.5 USM ,Canon EF (FF)
Canon EF 28-105 mm f/ 3.5-4.5 USM ,Canon EF (APS-H)
Canon EF 28-105 mm f/ 3.5-4.5 USM ,Canon EF-S
Canon EF 28-105 mm f/ 3.5-4.5 II USM ,Canon EF (FF)
Canon EF 28-105 mm f/ 3.5-4.5 II USM ,Canon EF (APS-H)
Canon EF 28-105 mm f/ 3.5-4.5 II USM ,Canon EF-S
Helios 40-2 85 mm f/ 1.5 ,M42
Helios-40 85 mm f/ 1.5 ,M39
Sigma AF 12-24 mm f/ 4.5-5.6 EX DG ASPHERICAL HSM ,Canon EF (FF)
Sigma AF 12-24 mm f/ 4.5-5.6 EX DG ASPHERICAL HSM ,Canon EF (APS-H)
Sigma AF 12-24 mm f/ 4.5-5.6 EX DG ASPHERICAL HSM ,Canon EF-S
Sigma AF 12-24 mm f/ 4.5-5.6 EX DG ASPHERICAL HSM ,Nikon F (FX)
Sigma AF 12-24 mm f/ 4.5-5.6 EX DG ASPHERICAL HSM ,Nikon F (DX)
Sigma AF 12-24 mm f/ 4.5-5.6 EX DG ASPHERICAL HSM ,Sigma SA
Sigma AF 12-24 mm f/ 4.5-5.6 EX DG ASPHERICAL ,Sony A (FF)
Sigma AF 12-24 mm f/ 4.5-5.6 EX DG ASPHERICAL ,Sony A (APS-C)
Sigma AF 12-24 mm f/ 4.5-5.6 EX DG ASPHERICAL ,Pentax K
Canon EF 50 mm f/ 1.4 USM ,Canon EF (FF)
Canon EF 50 mm f/ 1.4 USM ,Canon EF (APS-H)
Canon EF 50 mm f/ 1.4 USM ,Canon EF-S
Canon EF 50 mm f/ 1.8 ,Canon EF (FF)
Canon EF 50 mm f/ 1.8 ,Canon EF (APS-H)
Canon EF 50 mm f/ 1.8 ,Canon EF-S
Canon EF 50 mm f/ 1.8 II ,Canon EF (FF)
Canon EF 50 mm f/ 1.8 II ,Canon EF (APS-H)
Canon EF 50 mm f/ 1.8 II ,Canon EF-S
Canon EF 50 mm f/ 1.2 L USM ,Canon EF (FF)
Canon EF 50 mm f/ 1.2 L USM ,Canon EF (APS-H)
Canon EF 50 mm f/ 1.2 L USM ,Canon EF-S
Canon EF 50 mm f/ 1.0 L USM ,Canon EF (FF)
Canon EF 50 mm f/ 1.0 L USM ,Canon EF (APS-H)
Canon EF 50 mm f/ 1.0 L USM ,Canon EF-S
Canon EF 50 mm f/ 2.5 Compact Macro ,Canon EF (FF)
Canon EF 50 mm f/ 2.5 Compact Macro ,Canon EF (APS-H)
Canon EF 50 mm f/ 2.5 Compact Macro ,Canon EF-S
Canon EF 70-210 mm f/ 4 ,Canon EF (FF)
Canon EF 70-210 mm f/ 4 ,Canon EF (APS-H)
Canon EF 70-210 mm f/ 4 ,Canon EF-S
Canon EF 35-105 mm f/ 3.5-4.5 ,Canon EF (FF)
Canon EF 35-105 mm f/ 3.5-4.5 ,Canon EF (APS-H)
Canon EF 35-105 mm f/ 3.5-4.5 ,Canon EF-S
Super-Takumar 85 mm f/ 1.9 ,M42
Super-Takumar 55 mm f/ 1.8 ,M42
Tamron SP AF 28-75 mm f/ 2.8 XR Di LD Aspherical (IF) ,Canon EF (FF)
Tamron SP AF 28-75 mm f/ 2.8 XR Di LD Aspherical (IF) ,Canon EF (APS-H)
Tamron SP AF 28-75 mm f/ 2.8 XR Di LD Aspherical (IF) ,Canon EF-S
